PUTA POSAVLJENE SEJANJEM PREMA UCRATANOJ ŠEI,PUTA POSTAVLJENE SEJANJEM PREMA UCRTANOJ ŠEMI
U BAGREZMIKU IMA 2 REDA ISPRED I IZA,U BAGREMIKU IMA 2 REDA ISPRED I IZA
4 REDA U MISKM POLJU,4 REDA U MINSKOM POLJU
GRUA,GRUPA
UKOPAVANJEM U LEŽEĆEM STRAVU,UKOPAVANJEM U LEŽEĆEM STAVU
NMIJE STAVLJE,NIJE OSTAVLJEN
PROM-1 130 KOM RANOA O KOM,PROM-1 12 KOM I MRUD 6 KOM
NEM,NIŠTA
RUČNOI NAČIN STROJEVI RASPORED GRUPEA MINA,RUČNO NAČIN STROJEVI RASPORED GRUPA MINA
1. GRUPA 6 KOM PMA-2 2 GRUPA 1 KOM PMR-2A,1. GRUPA 6 KOM PMA-2 2. GRUPA 1 KOM PMR-2A
MINSKO POLJE JE UGRAĐENO U,MINSKO POLJE JE URAĐENO U
2 KOM PMR-2A NEPRIJATJE,2 KOM PMR-2A NEPRIJATE
GRUP PROTIVTENKOVSKIH MINA UGRAĐENO 21,GRUPA PROTIVTENKOVSKIH MINA UGRAĐENO 21
MEŠOVITO MINSKO POLJE SA 10 PTM TMA-14,MEŠOVITO MINSKO POLJE SA 100 PTM TMA-4 I
UGRAĐENO 1A PROM-1,UGRAĐENO 16 PROM-1
2. GRUPA 1. GRUPA 1 KOM PMR-2A 3 KOM PMA-2,2 GRUPE 1 GRUPA 1 KOM PMA-2A 3 KOM PMA-2
PROM-1 POSTAVLJEVIM NA POTEZ2,PROM-1 POSTAVLJENIH NA POTEZ
RUČNO POLAGANJE UKOPANJE,RUČNO POLAGANJE UKOPANE
PMA,PMA2
OM1,KOM. 12
4 DVA REDA,U DVA REDA
PROLZ NEMA,PROLAZA NEMA
UGRAĐENO 1 MINA,UGRAĐENO 15 MINA
O PMI,KOM DAMZ
E U REDA U 14. REDU 4 MINE NA DED PUTU U REDU 3 MI NE NA PUTU,NE U 4 REDA U 1. REDU 4 MINE NA ASV. PUTU U 2. REDU 3 MINE NA PUTU
PRVA MINA POSTV JENA NA O 5,PRVA MINA POSTAVLJENA PRAVO NA 5
JEDA RED MIA,JEDAN RED MINA
P 1 1P IM R,PTM RPE
PROTM REDU PO JEDNA PMA- SVA LEVE STANE,TREĆEM REDU PO JEDNA PMA-2 SA LEVE STRANE
PROTIVTENKOVSKA MINA-4,PROTIV-TENKOVSKA MINA-4
M3 TMA3 KOM 2,TNA 3 TMA-3 KOM. 3.
ERAVIN NRAPORO,NEPRAVILAN RASPORED
MEŠOVITO MINSKO POLJE SA 10 PTM TMA-14,MEŠOVITO MINSKO POLJE SA 100 PTM TMA-4 I
PREDA MIMNA POEKOA DANJE,RED 1 MINA PREKO STAZE
3 RED 20 TM-1 10 TMA-3 4. RED 8 TM 1 2 TMA-3,3. RED 20 TMM-1 10 TMA-3 4. RED 8 TMM 1 22 TMA 3
2. GRUPA 1 KOM PMR-2A 3 KOM PMA,2 GRUPA 1 KOM PMR-2A 3 KOM PMA
8 REDA TMA-3,2 REDA TMA-3
P MINSKO POLJE,PP MINSKO POLJE
VOJNIOU NOIE PO . MINE,VOJNICI NOSE PO 4 MINE
UGRAĐENO UKUPNO TM 72 KOM TMA-3 64 KOM TM-1,UGRAĐENO UKUPNO TM 72 KOM TMA-3 64 KOM TMM-1
DVIJE GRUPE JEDNA S JEVE STRANE,DVIJE GRUPE JEDNA S LIJEVE STRANE
RUČNO POPEDNO ŽICA ZA POTEZANE,RUČNO DVOREDNO ŽICA ZA POTEZANE
PROM-1 3 KOMADA PA-2A 3 KOMADA,PROM-1 5 KOMADA I PRMM 2A 9 KOMADA
NEMA PROLAZA PRILIKOM POSTAVLJANA 3 REDA MINA,NEMA PROLAZA PRILIKOM POSTAVLJANJA 3 REDA MINA
PROM-2A 4 KOM. MIN URJEN DEJSTJE RMAN UAMAGEO KOM.,PRM-2A 13 KOM. MINE USMJERENOG DEJSTVA MRUD UGRAĐENO 4 KOM.
TM-3 KOM 1 PMA-2A KOM 38,TMA-3 KOM 16 PMA-2A KOM 38
PAENA,PROLAZA NEMA
U SVAKOM REDU PO 30 TMA-4 I 60 PMA-2 SA SAKE,U SVAKOM REDU PO 30 TMA-4 I 60 PMA-2 SA SVAKE
2. RED 12 TMA-5 14 TMA-4 I 50 PMA-2 2. RED 12 TMA-5 14 TMA-1A I 75 PMA-2,3. RED 12 TMA-5 13 TMA-12 50 PMA-2 4. RED 12 TMA-5 13 TMA-1A I 25 PMA-2
RUČNO UKOPANE POLAGANJE,RUČNO UKAPANJE POLAGANJE
R KRUČN,LEŽEĆI RUČNO
1 ROMDA 3 KOM,1 RED 32 KOM
MEŠONTE POLJE UGRAĐENO 10 TM 20,MEŠOVITO POLJE UGRAĐENO 100 TMM 200
GREDA DA PROM- KREUA U JEDNU SANJU,ŽICA OD PROM-1 OKRENUTA U JEDNU STRANU
2. GRUPA 1. GRUPA 9 KOM PMR-2A 3 KOM PMA-2,2 GRUPE 1. GRUPA 1 KOM PMR-2A 3 KOM PMA-2
2 GRUPE 1. GRUPA 1 KOM PMR-2A 2 KOM PMA-2,2. GRUPE 1. GRUPA 1 KOM PMR-2A 2 KOM PMA-2
KORAKADODA OKO 10 KORA,KORAKA ODMAKNUTA OD SREDINE MINE PMR-2A OKO 10 KORAKA
1 GRUPA 3 REDA,1 GRUPA U 3 REDA
NAGAZNA PM-1 12,NAGAZNA PPM-1 12
RUČN POLTA M-,RUČNA GRUPA MINA
OA PUTU U 3. REDU REU MINE NA PUTUI 3 MINE VAN PUTA 4 REDU 3 NA PUTU 4,VAN PUTA U 3. REDU 3 MINE NA PUTU 3 MINE VAN PUTA U 4. REDU 3 NA PUTU 4
PROLZA NEMA,PROLAZA NEMA
RUČNO STROJEVIM RASPOREDOM 1. NAČIN,RUČNO RASPOREDOM 1 NAČIN
PROTIVPEŠADIJSKE MINE ZA DEJSVO NA POTE,PROTIVPEŠADIJSKE MINE ZA DEJSTVO NA POTEZ
TEKVSKE MINE OSTMANENE 3 MA-2,TENKOVSKE MINE ANTIMAGNETNE 3 TMA-3
RUPA PMA-2A 3 MOAMIU,3 GRUPA 2 PMR-2A RAZMINIRANO
RUČNO UKAPANE PMA-2,RUČNO UKOPANE PMA-2
PROLZ PROEZ MINSKO POLJE NIJE,PROLAZ KROZ MINSKO POLJE NIJE
POED NAU POLA,LEŽEĆI STAV RUČNO
G 1 OM PRU,GR 4 KOM PAM3
E SREVA R,STROJEVIM RASPOREDOM
2 REMDA TMA-1,2 REDA TMA-4
P MINSKO POLJE,PP MINSKO POLJE
RUČNO UKAPANJEM,RUČNO UKOPAVANJEM
DET. ŠTAPINOM I VITEZITOM 20,DET. ŠTAPINOM I VITEZOM 20
DVA REDA U PRVOM REDU UGRAĐENO 4 ČETRI PMR-2A,DVA REDA U PRVOM REDU UGRAĐENO 4 ČETIRI PMR-2A
PROTIV PREŠDIJSKA MINA ZA DEJSTVO NA POTEZ-2A,PROTIV PREŠADIJSKA MINA ZA DEJSTVO NA POTEZ-2A
