2. GRUPE 1. GRUPA 1 KOM PMR-2A 3 KOM PMA-2,2 GRUPE 1. GRUPA 1 KOM PMR-2A 3 KOM PMA-2
RUČNO I MINA STROJEV RASPOREKOM DIO M,RUČNO NAČIN STROJEVI RASPORED GRUPA MINA
130,1330
2 KOM,22 KOM.
STRANU ISTROČNO OD MINE,STRANU ISTOČNO OD MINE
NIE OSTAVLJEN,NIJE OSTAVLJEN
RANA NIS MIE TRANO NTI 20U,MEŠOVITE POLJE UGRAĐENO 100 TMM 200
5B,106
RUČNO UKAPANJEM PMA-2,RUČNO UKOPAVANJEM PMA-2
NEMA I,NEMA IH
RUČNO UKOPAVNANUE U LEŽEĆEM STRANU,RUČNO UKOPAVANJE U LEŽEĆEM STAVU
87,67
10,VOD
RUČNO POLOŽENE,RUČNO POLOŽENO
TMEN BONU POTE TMA-3 I 7 PMA-2 2 DAPA TA 3 TMA-35 1 PMA-2,NOM DJELU PUTA 1 TMA-3 I 4 PMA-2 A DRUGA GRUPA 2 TMA-3 I 4 PMA-2
1 GRUPA 3 REDA,1 GRUPA U 3 REDA
KOAKAO DMINEAOD SRDINE MINE PAMR-2A O 10 KORA,KORAKA ODMAK OKO 10 KORAKA
RUČNA,RUČNO
2. GRUPA 3 KOM PMA-2,2 GRUPA 3 KOM PMA-2
MINE SU JEDVIM DEOM UKOPANJE N1 DEUI,MINE SU JEDNIM DJELOM UKOPANE A DRUGI
3 REDA UVKOM REDU PO 5 MINA PMR-2A,3 REDA U SVAKOM REDU PO 5 MINA PMR-2A
HCRL,HCRLL
1 RED PMAPA,1 RED MEP-A
PROTITEADISK MINE PROM-1 6,PROTUPJEŠADIJSKE MINE PROM-1 = 65
RUČNO-STROJEVIM RASPOREDOM,RUČNO STROJEVIM RASPOREDOM
PRTIEASKI MES DRUNU R 1 REA,PRVI RED 24 MES DRUGI RED 21 MES-A
PROTIV PEŠADIJSKE MINE ZA DEJSTVO NA POTEZU UGRAĐEN,PROTIV PEŠADIJSKE MINE ZA DEJSTVO NA POTEZ UGRAĐENO
NIJE OSAVJEN,NIJE OSTAVLJEN
7 KOMDA PRM-1A2,7 KOMADA PRMM-A2
2. GRUPE 1. GRUPA 1 KOM PMR-2A 3 KOM PMA-2,2 GRUPE 1 GRUPA 1 KOM PMA-2A 3 KOM PMA-2
84,64
PREIVOEOPNO MINSKO POLJE,PROTIVOKLOPNO MINSKO POLJE
PO JEANA I KADU 3 DEI TR3STRV JMANE A PATA,1 PO RED 30 KOM PMA-2 1 GRUPA 29 KOM. TMM-1 PRVI 8 I KOM TREĆI 1 RED GRUPA PTM TMA-3 DRUGI RED 4 KOM. PPM
NEMA PROLZA,NEMA PROLAZA
139,1339
PROA-1 KOM 20,PROM-1 KOM 86
RUČNO KRAENE,RUČNO DVOREDNO
RUČNI,RUČNO
NISI MIE PO MIA,MINSKO POLJE JE URA
28 KOMADA 2 REDA PTMA-4 NA PUTU 6 KOM. 1 RED,28 KOMADA 2 REDA PTMA-4 NA PUTU 5 KOM 1 RED
DIE GRUPE ZA JED,DVIJE GRUPE NA JED-
REDU PO 16 TMA-4 TRL KEDU PO 2 PMA-2A 4 RED28,REDU PO 16 TMA-4 U I II I III REDU PO 32 PMA-2A I IV REDU 48
139,155
MEŠOVO MINSKO POLJE UGRAĐENO,MEŠOVITO MINSKO POLJE UGRAĐENO
TMA-4 I 20 PMA-2,TMA-4 I 240 PMA-2
N U 4 REDA U 1. REDU 4 MINE NA AV. PUTU U . REDU 3 MINE NA PUTAU,NE U 4 REDA U 1. REDU 4 MINE NA ASV. PUTU U 2. REDU 3 MINE NA PUTU
G 1 REDA R 1 TROM,GR 1 PROM GR 1 PROM
3 GRUPA OM PMA-2,3. GRUPA 9 KOM PMA-2
I 46 TMA-5 I 20 PMN PMA-2,I 46 TMA-5 I 200 PPMN PMA-2
TM-M1 KOM 3,TMM-M1 KOM 35
3. GRUPA 3 KOM. 3 GMUPA 3 KOM GRGRUPA 3 KOM.,2 GRUPA 3 KOM. 3 GRUPA 3 KOM. 4 GRUPA 3 KOM.
PO 63 KOM PRVI I TREI RED 1 RED PTMA-2 5,PO 63 KOM PRVI 1 RED PMA-2 85
70,VOD
IE 1 KOM TMO 6,1 RED 181 TMKD-6
2 GRUPA 3 KOM PMA-2,2. GRUPA 3 KOM PMA-2
3104,31094
I 5 PA-2 A 5 TMA-4 I 30 PMA-2,I 50 PMA-2 4. RED 25 TMA-4 I 25 PMA-2
2 KOM PMR-2A KASPAEKZ,2 KOM PMR-2A NEPRIJATELJ
RUČNO UKAPANJE,RUČNO UKOPANE
PROM2DI 18 KOM. MINE UGANEZANG DEJSTVNA RAI UGRAĐNO 4 KOM.,PRM-2A 13 KOM. MINE USMJERENOG DEJSTVA MRUD UGRAĐENO 4 KOM.
PROTITENEKOVSK MINE PM3 KOM,PROTUTENKOVSKE MINE PTM-3 = 1070
70,709
RUČA,RUČNO
PMRSIA,MARKUSICA
1956,11956
MINA ZA DEJSTO 1A NEIE PMA-4 6 KOM. RETOUSKA MINA OATAJUTE,MINA ZA DEJSTVO NA NAGAZ PMA-2 8 KOM. TENKOVSKA MINA ANTIMAGNE-
RUČNO STROJEVI RASPOREDOM 1. NAČIN,RUČNO STROJEVIM RASPOREDOM 1. NAČIN
NIE OSALJEN,NIJE OSTAVLJEN
RU 0 PROM-1 DERIKO U TEIU RADNO,ŽICA OD PROM-1 OKRENUTA U JEDNU STRANU
BROJ REDOVA 2,BROJ REDOVCI 2
PROTVEPNO MINSOA POJE,PROTIVOKLOPNO MINSKO POLJE
